,city,longitude,latitude,month1,month2
3,Sanya,109.1,18.4,10,2
7,Nanning,108.2,22.8,4,7
11,Honghe,102.4,23.4,4,7
15,Yaan,102.9,30,4,7
19,Chongqing,106.5,29.6,4,7
23,Wuhan1,114.3,30.4,4,7
27,Wuhan2,114.3,30.6,4,7
31,Hebi,114.3,35.8,6,10
